AA	(Hawaiian) a volcanic rock consisting of angular blocks of lava with a very rough surface [n -S]
AAH	an interjection expressing surprise [interj] / to exclaim in surprise [v -ED, -ING, -S]
AAHED	AAH, to exclaim in surprise [v]
AAHING	AAH, to exclaim in surprise [v]
AAHS	AAH, to exclaim in surprise [v]
AAL	(Hindi) the Indian mulberry tree, aka noni, also AL [n -S]
AALII	(Hawaiian) a tropical tree [n -S]
AALIIS	AALII, (Hawaiian) a tropical tree [n]
AALS	AAL, (Hindi) the Indian mulberry tree, aka noni, also AL [n]
AARDVARK	(South African) a nocturnal, insectivorous, badger-sized mammal native to sub-Saharan Africa [n -S]
AARDVARKS	AARDVARK, (South African) a nocturnal, insectivorous, badger-sized mammal native to sub-Saharan Africa [n]
AARDWOLF	(South African) a hyena-like African mammal, aka earthwolf [n AARDWOLVES]
AARDWOLVES	AARDWOLF, (South African) a hyena-like African mammal, aka earthwolf [n]
AARGH	an exclamation indicating dismay, also AARRGH, AARRGHH, ARGH [interj]
AARRGH	an exclamation indicating dismay, also AARGH, AARRGHH, ARGH [interj]
AARRGHH	used to express disgust, also AARGH, AARRGH [interj]
AARTI	(Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also ARTI [n -S]
AARTIS	AARTI, (Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also ARTI [n]
AAS	AA, (Hawaiian) a volcanic rock consisting of angular blocks of lava with a very rough surface [n]
AASVOGEL	(South African) a South African vulture [n -S]
AASVOGELS	AASVOGEL, (South African) a South African vulture [n]
AATMAN	(Sanskrit) the essential self, also ATMA, ATMAN [n -S]
AATMANS	AATMAN, (Sanskrit) the essential self, also ATMA, ATMAN [n]
AB	an abdominal muscle [n -S]
ABA	a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABAYA [n -S]
ABAC	a nomogram, a chart or diagram of scaled lines or curves used to assist in mathematical calculations [n -S]
ABACA	(Tagalog) a Philippine plant, also ABAKA [n -S]
ABACAS	ABACA, (Tagalog) a Philippine plant, also ABAKA [n]
ABACI	ABACUS, (Latin) a counting frame using beads [n]
ABACK	towards the back [adv]
ABACS	ABAC, a nomogram, a chart or diagram of scaled lines or curves used to assist in mathematical calculations [n]
ABACTERIAL	not caused by or characterised by the presence of bacteria [adj]
ABACTINAL	remote from the actinal area (of a radiate animal) [adj ABACTINALLY]
ABACTINALLY	ABACTINAL, remote from the actinal area (of a radiate animal) [adv]
ABACTOR	(obsolete) a cattle thief [n -S]
ABACTORS	ABACTOR, (obsolete) a cattle thief [n]
ABACUS	(Latin) a counting frame using beads [n ABACUSES or ABACI]
ABACUSES	ABACUS, (Latin) a counting frame using beads [n]
ABAFT	towards or at the stern of a ship [adv]
ABAKA	(Tagalog) the Manila-hemp plant, or its fiber, also ABACA [n -S]
ABAKAS	ABAKA, (Tagalog) the Manila-hemp plant, or its fiber, also ABACA [n]
ABALONE	a sea snail of rocky coasts, aka ormer [n -S]
ABALONES	ABALONE, a sea snail of rocky coasts, aka ormer [n]
ABAMP	short for ABAMPERE, a unit of electric current equivalent to 10 amperes [n -S]
ABAMPERE	a unit of electric current equivalent to 10 amperes [n -S]
